key_resp.rt,key_resp.rt,,,,
0.4692112,0.5532298,,random mean ,0.460775285,
0.4138634,0.472108,,sequential mean,0.337004537,
0.499532,0.4450045,,,,
0.4192124,0.4580527,,Diffrence betn rts ,-0.123770748,
0.4642825,0.5572766,,,SEQ RT,RAND RT
0.4208197,0.499785,,bin ,,
0.4513038,0.3728931,,1,0.49447779,0.426075386
0.4127966,0.4864795,,2,0.459501676,0.390463412
0.5796198,0.3956234,,3,0.437182486,0.274497626
0.5219769,0.4045165,,4,0.451375181,0.25364744
0.4780286,0.3721362,,,,
0.4868687,0.564439,,,,
0.4328169,0.4364187,,,,
0.4202966,0.5373275,,,,
0.4492007,0.357202,,,,
0.5165583,0.4162253,,,,
0.4641396,0.3754886,,,,
0.495091,0.3847281,,,,
0.4100983,0.4120086,,,,
0.3280835,0.3880763,,,,
0.4698778,0.3752456,,,,
0.4624185,0.42595,,,,
0.4239433,0.7302746,,,,
0.5103174,0.6010536,,,,
0.4951169,0.3906738,,,,
0.5192775,0.4495935,,,,
0.6491479,0.4210536,,,,
0.4725445,0.483856,,,,
0.5099467,0.3358953,,,,
0.617817,0.6231796,,,,
0.5017927,0.4285264,,,,
0.4810366,0.5382615,,,,
0.4829699,0.3854833,,,,
0.4451375,0.3660586,,,,
0.5351945,0.5358566,,,,
0.4279814,0.4250205,,,,
0.512888,0.3297663,,,,
0.4931702,0.3540268,,,,
0.5439405,0.3416394,,,,
0.6123335,0.4754303,,,,
1.10943,0.3186342,,,,
0.3871166,0.296548,,,,
0.3932735,0.2782191,,,,
0.3664344,0.3532986,,,,
0.4444833,0.301172,,,,
0.4151576,0.3146069,,,,
0.596886,0.3458317,,,,
0.4774828,0.4134609,,,,
0.7087825,0.4269081,,,,
0.52419,0.3492251,,,,
0.7842535,0.3790742,,,,
0.6995369,0.3696331,,,,
0.4974777,0.3507191,,,,
0.5947942,0.3472742,,,,
0.5355397,0.3599186,,,,
0.6797639,0.4388447,,,,
0.4325324,0.3005464,,,,
0.8088148,0.2959362,,,,
0.4515016,0.3284458,,,,
0.453996,0.3001234,,,,
0.5538846,0.3195195,,,,
0.4009466,0.4204864,,,,
0.3950143,0.4209731,,,,
0.441092,0.4663435,,,,
0.4424391,0.3327205,,,,
0.4076546,0.3775933,,,,
0.4287089,0.3234915,,,,
0.4448825,0.2905722,,,,
0.5021886,0.2663824,,,,
0.3034614,0.411349,,,,
0.4114014,0.3396902,,,,
0.4043424,0.4745199,,,,
0.4422682,0.3210814,,,,
0.4112635,0.5363837,,,,
0.3745717,0.4943257,,,,
0.4901729,0.4417992,,,,
0.3317728,0.3329147,,,,
0.4045813,0.6616723,,,,
0.3960269,0.3534507,,,,
0.3991874,0.4025394,,,,
0.4731086,0.4190203,,,,
0.4961521,0.2993876,,,,
0.387971,0.4008305,,,,
0.5304068,0.3789545,,,,
0.4624268,0.2754424,,,,
0.5270462,0.3019501,,,,
0.3916712,0.3244812,,,,
0.3854115,0.5691048,,,,
0.347414,0.3178732,,,,
0.3713954,0.4742846,,,,
0.4008807,0.3973103,,,,
0.3666827,0.4339811,,,,
0.4050033,0.3690966,,,,
0.400348,0.4363053,,,,
0.4258516,0.3326101,,,,
0.4977643,0.7715251,,,,
0.493652,0.367005,,,,
0.4606008,0.443842,,,,
0.3588148,0.3470995,,,,
0.4684102,0.4047421,,,,
